Date,Description,Amount
2024-05-05,Office Stationery,1426
2024-02-22,Zoom License,6533
2024-08-04,Local Vendor,5037
2024-04-21,Employee Salary,26140
2024-04-11,AWS Subscription,5097
2024-08-17,Misc Purchase,2005
2024-12-23,Uber Ride,1507
2024-03-20,Facebook Ads,5552
2024-02-17,Notion Annual,1337
2024-06-25,Google Ads,6881
2024-10-01,Uber Ride,3963
2024-10-09,Printer Paper,622
2024-04-08,Flight Booking,4929
2024-05-28,Office Stationery,1233
2024-07-13,Office Stationery,713
2024-03-24,Rail Ticket,3188
2024-12-09,Zomato Dinner,1158
2024-09-30,Uber Ride,1601
2024-07-13,Zoom License,4286
2024-01-29,Ola Cab,2856
2024-06-10,AWS Subscription,7094
2024-04-18,Facebook Ads,2084
2024-09-12,Swiggy Team Lunch,2984
2024-03-14,Canva Pro,8517
2024-10-14,Ola Cab,2220
2024-08-07,Courier Charge,4988
2024-03-11,Facebook Ads,4593
2024-01-25,Misc Purchase,944
2024-03-22,Office Stationery,2870
2024-07-16,Canva Pro,2040
2024-09-27,Canva Pro,8668
2024-12-15,Uber Ride,1138
2024-06-23,Courier Charge,5450
2024-03-21,Printer Paper,2080
2024-09-13,Electricity Bill,2957
2024-06-01,Laptop Purchase,48979
2024-07-10,Repair Service,1452
2024-06-14,Laptop Purchase,47252
2024-07-04,Electricity Bill,1716
2024-05-03,Ola Cab,674
2024-02-05,Office Stationery,2290
2024-12-03,Repair Service,1251
2024-05-15,WiFi Payment,2152
2024-10-03,Misc Purchase,1935
2024-12-09,Notion Annual,3768
2024-09-21,Zomato Dinner,3984
2024-04-25,Electricity Bill,2830
2024-10-28,Printer Paper,386
2024-04-22,Repair Service,5020
2024-11-19,Employee Salary,66389
2024-01-17,Employee Salary,24417
2024-05-01,Swiggy Team Lunch,2405
2024-10-03,Rail Ticket,1955
2024-08-30,Desk Equipment,23925
2024-02-19,Google Ads,2545
2024-07-29,Facebook Ads,7939
2024-12-10,WiFi Payment,1243
2024-06-22,Office Stationery,1949
2024-04-07,Office Stationery,1084
2024-08-04,Misc Purchase,1348
2024-05-07,Office Chair,38318
2024-02-20,Printer Paper,2554
2024-01-08,Intern Stipend,55427
2024-07-27,Office Stationery,981
2024-07-24,Broadband Recharge,2551
2024-01-02,Employee Salary,44836
2024-08-20,Facebook Ads,13846
2024-12-04,Rail Ticket,4752
2024-05-31,Electricity Bill,2355
2024-10-04,AWS Subscription,5244
2024-01-30,Intern Stipend,40552
2024-09-14,Intern Stipend,51246
2024-09-17,Repair Service,665
2024-10-31,Office Stationery,580
2024-07-25,Pens Purchase,1263
2024-10-23,Pens Purchase,1308
2024-08-02,Intern Stipend,25372
2024-04-14,Courier Charge,2336
2024-07-21,Swiggy Team Lunch,1387
2024-06-10,Office Chair,37964
2024-11-14,Office Stationery,2177
2024-04-19,Office Stationery,2502
2024-06-27,Courier Charge,1285
2024-05-25,Office Stationery,1813
2024-12-26,Desk Equipment,43600
2024-06-02,Uber Ride,4743
2024-02-29,Office Stationery,1383
2024-03-20,Pens Purchase,2566
2024-06-24,Flight Booking,1925
2024-09-07,Notion Annual,4640
2024-11-20,Uber Ride,956
2024-01-02,Facebook Ads,1722
2024-05-14,Swiggy Team Lunch,2909
2024-12-27,Desk Equipment,44154
2024-02-27,Canva Pro,1158
2024-10-06,Pens Purchase,910
2024-10-09,Payroll Transfer,58175
2024-01-22,Desk Equipment,16352
2024-07-02,Flight Booking,526
2024-02-22,Zoom License,5963
2024-07-27,Restaurant Meeting,3921
2024-03-31,Monitor Setup,18649
2024-06-19,Google Ads,3938
2024-05-07,Canva Pro,13043
2024-07-14,Ola Cab,1085
2024-04-12,Payroll Transfer,34577
2024-04-26,Broadband Recharge,3300
2024-04-08,AWS Subscription,5906
2024-02-05,Facebook Ads,5564
2024-07-23,Flight Booking,4373
2024-02-29,Courier Charge,426
2024-05-15,Ola Cab,4956
2024-08-10,Employee Salary,59096
2024-06-09,Restaurant Meeting,3521
2024-02-29,Canva Pro,9379
2024-05-10,Canva Pro,4114
2024-01-01,Intern Stipend,48577
2024-08-08,Repair Service,3183
2024-11-15,Pens Purchase,1652
2024-03-04,Restaurant Meeting,3773
2024-06-16,Flight Booking,3545
2024-10-10,Canva Pro,5844
2024-12-06,Monitor Setup,35554
2024-03-30,Canva Pro,13257
2024-01-01,Rail Ticket,4688
2024-08-08,Flight Booking,1921
2024-08-14,Zomato Dinner,2109
2024-03-27,GitHub Pro,7002
2024-12-05,Printer Paper,2411
2024-04-30,Swiggy Team Lunch,3652
2024-03-16,Ola Cab,1831
2024-08-31,Employee Salary,36046
2024-11-18,Printer Paper,1997
2024-07-23,GitHub Pro,4549
2024-12-18,Zoom License,5874
2024-08-05,Employee Salary,71014
2024-12-22,Zoom License,7087
2024-10-12,Misc Purchase,611
2024-03-09,AWS Subscription,4239
2024-08-14,WiFi Payment,3399
2024-08-16,Misc Purchase,4688
2024-05-12,Desk Equipment,37495
2024-09-23,Notion Annual,6773
2024-05-20,WiFi Payment,2759
2024-04-30,Electricity Bill,3140
2024-10-03,Flight Booking,2819
2024-04-28,Office Stationery,917
2024-12-27,Canva Pro,3503
2024-07-27,AWS Subscription,3898
2024-07-31,Restaurant Meeting,2208
2024-08-03,Employee Salary,74584
2024-01-11,Canva Pro,12395
2024-06-29,Facebook Ads,1096
2024-10-02,Rail Ticket,3632
2024-04-22,Repair Service,4199
2024-01-15,Rail Ticket,4178
2024-12-13,Facebook Ads,11958
2024-08-27,Canva Pro,3704
2024-10-30,Laptop Purchase,33822
2024-08-07,Employee Salary,62123
2024-01-26,Desk Equipment,19909
2024-04-18,Rail Ticket,2881
2024-07-13,Broadband Recharge,3564
2024-02-11,Rail Ticket,2266
2024-06-28,Electricity Bill,1226
2024-11-29,AWS Subscription,6899
2024-04-12,Employee Salary,36205
2024-05-02,Intern Stipend,29986
2024-02-28,Desk Equipment,51873
2024-05-11,GitHub Pro,6230
2024-11-06,Swiggy Team Lunch,2781
2024-02-25,Office Stationery,1574
2024-12-12,Payroll Transfer,57735
2024-04-11,Facebook Ads,12714
2024-05-04,Pens Purchase,2869
2024-12-16,Pens Purchase,1535
